Sequence_Name,Source_File,Sequence_Length,pI,MW,Polar_Pct,A_Pct,L_Pct,V_Pct,I_Pct,P_Pct,F_Pct,W_Pct,M_Pct,G_Pct,GRAVY_Score,Avg_KD_Hydrophobicity,Max_KD_Hydrophobicity
Bexatamig_NCR1-NKP46-NKp46-LY94-CD335_Heavy_Chain_2,bexatamig.py,120,8.84,13231.63,0.57,8.33,4.17,8.33,2.5,2.5,1.67,2.5,2.5,10,-0.47,-0.45,1.22
Bexatamig_NCR1-NKP46-NKp46-LY94-CD335_Light_Chain_2,bexatamig.py,107,9.04,11762.98,0.58,3.74,5.61,3.74,6.54,5.61,4.67,1.87,0.93,9.35,-0.47,-0.47,0.82
Cevostamab_Heavy_Chain_1,cevostamab.py,120,6.99,12968.31,0.53,5,10,10.83,1.67,3.33,2.5,3.33,0,10,-0.14,-0.12,1.65
Cevostamab_Light_Chain_1,cevostamab.py,107,8.96,11771.04,0.58,3.74,5.61,6.54,4.67,6.54,4.67,0.93,0.93,8.41,-0.42,-0.42,0.93
Cevostamab_Heavy_Chain_2,cevostamab.py,119,5.8,13485.76,0.6,6.72,5.04,8.4,3.36,2.52,3.36,3.36,0,7.56,-0.48,-0.46,1.65
Cevostamab_Light_Chain_2,cevostamab.py,112,9.55,12434.94,0.59,4.46,8.93,5.36,5.36,3.57,3.57,1.79,0.89,7.14,-0.4,-0.41,1.28
Cibisatamab_CEACAM5-CD66e-and-CD3E_Heavy_Chain_1,cibisatamab.py,121,5.07,13551.95,0.55,8.26,3.31,9.92,0.83,1.65,4.13,4.13,3.31,9.09,-0.38,-0.36,1.22
Cibisatamab_CEACAM5-CD66e-and-CD3E_Light_Chain_1,cibisatamab.py,108,9.3,11870.25,0.56,7.41,6.48,4.63,4.63,5.56,4.63,0.93,0.93,8.33,-0.31,-0.31,1.24
Cibisatamab_CD3E_Heavy_Chain_2,cibisatamab.py,121,5.07,13551.95,0.55,8.26,3.31,9.92,0.83,1.65,4.13,4.13,3.31,9.09,-0.38,-0.36,1.22
Cibisatamab_CD3E_Light_Chain_2,cibisatamab.py,109,7.98,11242.46,0.46,10.09,10.09,7.34,0.92,5.5,2.75,2.75,0,14.68,-0.08,-0.1,1.44
Ciduvectamig_Heavy_Chain_1,ciduvectamig.py,118,6.85,12715.04,0.52,5.93,9.32,7.63,1.69,3.39,3.39,2.54,2.54,11.86,-0.2,-0.18,1.65
Ciduvectamig_Light_Chain_1,ciduvectamig.py,107,7.95,11523.74,0.55,5.61,8.41,3.74,5.61,5.61,3.74,0.93,0.93,10.28,-0.32,-0.32,1.84
Ciduvectamig_Heavy_Chain_2,ciduvectamig.py,120,9.3,13601.94,0.59,5,9.17,7.5,2.5,4.17,2.5,4.17,0,5.83,-0.46,-0.45,1.65
Ciduvectamig_Light_Chain_2,ciduvectamig.py,110,9.01,11394.52,0.55,6.36,8.18,6.36,3.64,4.55,2.73,0.91,0,11.82,-0.22,-0.23,1.44
Davutamig_Heavy_Chain_1,davutamig.py,121,4.58,13539.76,0.55,7.44,8.26,7.44,2.48,1.65,3.31,3.31,1.65,9.09,-0.35,-0.33,1.65
Davutamig_Light_Chain_1,davutamig.py,108,8.66,11670.87,0.58,5.56,7.41,2.78,6.48,6.48,3.7,0.93,0.93,7.41,-0.33,-0.33,1.84
Davutamig_Heavy_Chain_2,davutamig.py,117,6.08,12716.16,0.5,8.55,8.55,8.55,3.42,1.71,3.42,2.56,2.56,10.26,0,0.02,1.74
Davutamig_Light_Chain_2,davutamig.py,108,8.66,11670.87,0.58,5.56,7.41,2.78,6.48,6.48,3.7,0.93,0.93,7.41,-0.33,-0.33,1.84
Denecimig_Heavy_Chain_1,denecimig.py,122,8.99,13371.85,0.51,5.74,8.2,9.02,2.46,1.64,4.1,3.28,1.64,13.11,-0.21,-0.19,1.65
Denecimig_Light_Chain_1,denecimig.py,107,9.2,11823.15,0.59,5.61,6.54,2.8,6.54,4.67,4.67,1.87,0.93,7.48,-0.39,-0.39,0.92
Denecimig_Heavy_Chain_2,denecimig.py,120,5.57,13327.77,0.55,5,5.83,7.5,4.17,3.33,3.33,4.17,3.33,8.33,-0.25,-0.23,1.65
Denecimig_Light_Chain_2,denecimig.py,109,8.07,11951.18,0.56,4.59,10.09,2.75,4.59,5.5,5.5,0.92,0,10.09,-0.39,-0.39,1.66
Dilpacimab_Heavy_Chain_1,dilpacimab.py,118,8.65,12845.17,0.52,8.47,7.63,7.63,1.69,3.39,4.24,2.54,1.69,11.02,-0.23,-0.21,1.65
Dilpacimab_Light_Chain_1,dilpacimab.py,107,4.81,11757.86,0.59,5.61,7.48,2.8,5.61,6.54,3.74,0.93,0.93,7.48,-0.53,-0.53,0.93
Dilpacimab_Heavy_Chain_2,dilpacimab.py,123,6.99,13727.09,0.53,7.32,7.32,7.32,0.81,3.25,4.07,4.07,1.63,11.38,-0.33,-0.31,1.65
Dilpacimab_Light_Chain_2,dilpacimab.py,107,6.75,11703.85,0.59,3.74,5.61,5.61,5.61,5.61,4.67,1.87,0.93,7.48,-0.34,-0.34,1.72
Elranatamab_Heavy_Chain_1,elranatamab.py,115,8.06,12377.84,0.47,6.96,9.57,6.96,3.48,4.35,2.61,3.48,2.61,13.04,-0.08,-0.06,1.65
Elranatamab_Light_Chain_1,elranatamab.py,108,6.47,11877.16,0.55,6.48,9.26,3.7,4.63,6.48,3.7,1.85,0.93,8.33,-0.34,-0.34,1.66
Elranatamab_Heavy_Chain_2,elranatamab.py,121,8.99,13493.89,0.55,7.44,7.44,8.26,1.65,3.31,3.31,2.48,1.65,9.92,-0.41,-0.4,1.22
Elranatamab_Light_Chain_2,elranatamab.py,112,8.62,12353.73,0.57,5.36,8.93,5.36,4.46,4.46,4.46,1.79,0.89,7.14,-0.37,-0.37,1.28
Emicizumab_H1_TargetF9,emicizumab.py,119,4.91,13268.5,0.61,5.04,5.88,7.56,2.52,1.68,1.68,2.52,3.36,9.24,-0.63,-0.61,1.65
Emicizumab_L1_TargetF9,emicizumab.py,107,6.41,11857.09,0.59,5.61,6.54,3.74,6.54,6.54,2.8,0.93,0.93,7.48,-0.58,-0.58,0.93
Emicizumab_H2_TargetF10,emicizumab.py,123,9.2,13736.09,0.55,4.88,7.32,7.32,2.44,2.44,3.25,3.25,0.81,13.01,-0.47,-0.45,1.65
Emicizumab_L2_TargetF10,emicizumab.py,107,6.41,11857.09,0.59,5.61,6.54,3.74,6.54,6.54,2.8,0.93,0.93,7.48,-0.58,-0.58,0.93
Epcoritamab_Heavy_Chain_1|Target:CD3E,epcoritamab.py,125,9.13,14029.54,0.55,7.2,7.2,8,1.6,1.6,4,3.2,2.4,9.6,-0.38,-0.36,1.65
Epcoritamab_Light_Chain_1|Target:CD3E,epcoritamab.py,109,8.76,11347.6,0.46,10.09,7.34,8.26,3.67,4.59,4.59,2.75,0,12.84,0.05,0.03,1.44
Epcoritamab_Heavy_Chain_2|Target:MS4A1/CD20,epcoritamab.py,122,6.09,13537.91,0.54,7.38,7.38,7.38,3.28,1.64,2.46,3.28,2.46,10.66,-0.33,-0.32,1.22
Epcoritamab_Light_Chain_2|Target:MS4A1/CD20,epcoritamab.py,107,8.08,11694.92,0.54,8.41,9.35,2.8,5.61,6.54,3.74,1.87,0,7.48,-0.31,-0.31,1.66
Etentamig_Heavy_Chain_1,etentamig.py,123,8.04,13360.69,0.51,8.13,8.94,6.5,2.44,1.63,2.44,3.25,1.63,13.82,-0.33,-0.31,1.65
Etentamig_Light_Chain_1,etentamig.py,107,8.72,11646.86,0.54,8.41,6.54,4.67,4.67,5.61,3.74,2.8,0.93,8.41,-0.32,-0.32,1.28
Etentamig_Heavy_Chain_2,etentamig.py,119,6.86,12677.84,0.54,5.88,7.56,7.56,1.68,3.36,2.52,1.68,1.68,14.29,-0.45,-0.43,1.65
Etentamig_Light_Chain_2,etentamig.py,107,8.72,11646.86,0.54,8.41,6.54,4.67,4.67,5.61,3.74,2.8,0.93,8.41,-0.32,-0.32,1.28
Etuptamig_Heavy_Chain_1,etuptamig.py,117,6.4,12988.38,0.56,4.27,5.13,9.4,1.71,1.71,3.42,3.42,3.42,11.11,-0.41,-0.39,1.65
Etuptamig_Light_Chain_1,etuptamig.py,107,8.93,11622.87,0.57,6.54,5.61,4.67,5.61,5.61,4.67,0.93,0.93,8.41,-0.36,-0.36,0.93
Etuptamig_Heavy_Chain_2,etuptamig.py,125,8.9,13952.39,0.54,8.8,6.4,8.8,1.6,1.6,4,3.2,1.6,9.6,-0.36,-0.35,2.08
Etuptamig_Light_Chain_2,etuptamig.py,109,8.08,11445.79,0.45,9.17,11.01,8.26,0.92,6.42,2.75,3.67,0,12.84,-0.06,-0.08,1.44
Fanastomig_LAG3-CD223_Heavy_Chain_1,fanastomig.py,113,4.97,12425.66,0.57,7.96,5.31,9.73,3.54,2.65,1.77,3.54,0.88,7.96,-0.35,-0.33,1.22
Fanastomig_LAG3-CD223_Light_Chain_1,fanastomig.py,107,6.34,11585.81,0.56,7.48,10.28,2.8,5.61,4.67,2.8,0.93,0.93,8.41,-0.26,-0.26,1.32
Fanastomig_PDCD1-CD279-PD1_Heavy_Chain_2,fanastomig.py,121,6.99,13139.41,0.55,5.79,6.61,9.09,2.48,1.65,1.65,2.48,2.48,12.4,-0.32,-0.31,1.22
Fanastomig_PDCD1-CD279-PD1_Light_Chain_2,fanastomig.py,107,6.75,11679.88,0.56,5.61,5.61,3.74,6.54,6.54,2.8,2.8,0.93,9.35,-0.41,-0.41,1.61
Faricimab_VEGFA_Heavy_Chain_1,faricimab.py,123,6.09,13804.18,0.53,7.32,7.32,7.32,0.81,3.25,4.07,4.07,1.63,11.38,-0.33,-0.31,1.65
Faricimab_VEGFA_Light_Chain_1,faricimab.py,107,6.75,11685.82,0.59,3.74,6.54,5.61,5.61,5.61,4.67,1.87,0,7.48,-0.32,-0.32,1.72
Faricimab_ANGPT2_Heavy_Chain_2,faricimab.py,129,8.86,14381.88,0.55,6.98,3.1,7.75,2.33,4.65,2.33,3.1,3.88,10.85,-0.49,-0.48,1.33
Faricimab_ANGPT2_Light_Chain_2,faricimab.py,108,5.07,11522.48,0.54,5.56,4.63,10.19,3.7,6.48,1.85,2.78,0,11.11,-0.4,-0.42,1.44
Fazpilodemab_Heavy_Chain_1,fazpilodemab.py,120,4.87,12971.25,0.52,7.5,9.17,9.17,3.33,1.67,1.67,3.33,0.83,11.67,-0.11,-0.09,1.65
Fazpilodemab_Light_Chain_1,fazpilodemab.py,111,4.76,12216.38,0.57,6.31,7.21,6.31,4.5,5.41,2.7,1.8,0.9,8.11,-0.49,-0.49,1.66
Fazpilodemab_Heavy_Chain_2,fazpilodemab.py,116,4.29,12473.59,0.53,7.76,6.9,8.62,2.59,2.59,2.59,2.59,1.72,12.07,-0.21,-0.19,1.65
Fazpilodemab_Light_Chain_2,fazpilodemab.py,107,7.95,11519.7,0.57,6.54,5.61,5.61,4.67,6.54,4.67,0.93,0.93,7.48,-0.28,-0.28,1.96
Forimtamig_GPRC5D_Heavy_Chain_1,forimtamig.py,118,9.15,13075.64,0.53,7.63,4.24,10.17,3.39,5.08,2.54,4.24,1.69,8.47,-0.27,-0.25,1.22
Forimtamig_GPRC5D_Light_Chain_1,forimtamig.py,111,6.86,12125.53,0.54,4.5,10.81,2.7,7.21,6.31,3.6,0.9,0.9,9.01,-0.27,-0.28,1.88
Forimtamig_CD3E_Heavy_Chain_2,forimtamig.py,125,9.13,13990.44,0.57,6.4,8,8,1.6,2.4,3.2,2.4,1.6,9.6,-0.36,-0.34,1.65
Forimtamig_CD3E_Light_Chain_2,forimtamig.py,109,7.98,11242.46,0.46,10.09,10.09,7.34,0.92,5.5,2.75,2.75,0,14.68,-0.08,-0.1,1.44
Glofitamab_CD3E_Heavy_Chain_1,glofitamab.py,125,9.18,13954.41,0.54,7.2,8,8,1.6,1.6,4,3.2,1.6,10.4,-0.32,-0.3,1.65
Glofitamab_CD3E_Light_Chain_1,glofitamab.py,109,7.98,11242.46,0.46,10.09,10.09,7.34,0.92,5.5,2.75,2.75,0,14.68,-0.08,-0.1,1.44
Glofitamab_MS4A1-CD20_Heavy_Chain_2,glofitamab.py,119,8.57,13145.56,0.53,6.72,5.04,10.08,2.52,2.52,3.36,4.2,1.68,10.92,-0.31,-0.29,1.65
Glofitamab_MS4A1-CD20_Light_Chain_2,glofitamab.py,112,5.7,12195.72,0.52,2.68,10.71,7.14,5.36,7.14,2.68,0.89,1.79,9.82,-0.13,-0.13,1.28
Gremubamab_Heavy_Chain_1,gremubamab.py,124,5.24,13580.04,0.52,7.26,8.06,7.26,2.42,2.42,3.23,2.42,3.23,11.29,-0.2,-0.19,1.58
Gremubamab_Light_Chain_1,gremubamab.py,107,8.65,11653.89,0.56,5.61,7.48,3.74,5.61,5.61,3.74,1.87,0.93,9.35,-0.37,-0.38,1.57
Gremubamab_Heavy_Chain_2,gremubamab.py,119,8.49,13029.57,0.55,5.04,9.24,6.72,5.04,5.04,0.84,3.36,0.84,8.4,-0.23,-0.22,1.33
Gremubamab_Light_Chain_2,gremubamab.py,107,8.91,11597.79,0.57,5.61,7.48,3.74,5.61,4.67,3.74,2.8,0,9.35,-0.37,-0.37,1.3
Ivicentamab_Heavy_Chain_1,ivicentamab.py,120,6.47,13119.48,0.53,7.5,10.83,6.67,1.67,1.67,2.5,3.33,1.67,11.67,-0.19,-0.17,1.65
Ivicentamab_Light_Chain_1,ivicentamab.py,110,6.29,11733.97,0.53,8.18,5.45,7.27,4.55,5.45,5.45,0.91,0.91,9.09,-0.16,-0.16,1.29
Ivicentamab_Heavy_Chain_2,ivicentamab.py,119,6.48,12848.17,0.5,9.24,9.24,6.72,2.52,2.52,2.52,4.2,1.68,11.76,-0.22,-0.2,1.82
Ivicentamab_Light_Chain_2,ivicentamab.py,110,7.98,11823.02,0.57,7.27,6.36,3.64,6.36,4.55,3.64,0.91,0.91,9.09,-0.38,-0.38,1.01
Linclatamig_Heavy_Chain_1,linclatamig.py,112,4.89,12084.44,0.47,9.82,9.82,8.04,1.79,2.68,3.57,3.57,2.68,10.71,0,0.02,1.65
Linclatamig_Light_Chain_1,linclatamig.py,111,9.2,12092.37,0.59,4.5,6.31,3.6,5.41,5.41,4.5,0.9,0.9,9.01,-0.48,-0.48,0.93
Linclatamig_Heavy_Chain_2,linclatamig.py,119,6.86,13485.8,0.6,6.72,5.04,8.4,3.36,2.52,3.36,3.36,0,7.56,-0.49,-0.47,1.65
Linclatamig_Light_Chain_2,linclatamig.py,112,8.64,12389.81,0.57,5.36,8.93,5.36,5.36,4.46,3.57,1.79,0.89,7.14,-0.36,-0.36,1.28
Linvoseltamab_Heavy_Chain_1,linvoseltamab.py,125,4.82,13948.33,0.56,6.4,7.2,8,1.6,1.6,4,3.2,2.4,9.6,-0.35,-0.33,1.65
Linvoseltamab_Light_Chain_1,linvoseltamab.py,108,8.66,11670.87,0.58,5.56,7.41,2.78,6.48,6.48,3.7,0.93,0.93,7.41,-0.33,-0.33,1.84
Linvoseltamab_Heavy_Chain_2,linvoseltamab.py,124,8.59,13555.91,0.53,6.45,8.06,7.26,1.61,1.61,3.23,3.23,1.61,13.71,-0.37,-0.36,1.22
Linvoseltamab_Light_Chain_2,linvoseltamab.py,108,8.66,11670.87,0.58,5.56,7.41,2.78,6.48,6.48,3.7,0.93,0.93,7.41,-0.33,-0.33,1.84
Lomvastomig_PDCD1-CD279-PD1_Heavy_Chain_1,lomvastomig.py,120,8.05,12977.45,0.5,5.83,10.83,8.33,2.5,2.5,3.33,2.5,1.67,12.5,-0.05,-0.03,1.89
Lomvastomig_PDCD1-CD279-PD1_Light_Chain_1,lomvastomig.py,111,4.58,12177.29,0.59,4.5,6.31,7.21,5.41,4.5,3.6,1.8,0.9,7.21,-0.4,-0.4,1.28
Lomvastomig_HAVCR2-TIM3_Heavy_Chain_2,lomvastomig.py,119,8.03,12994.44,0.5,10.08,6.72,8.4,2.52,3.36,3.36,3.36,1.68,10.92,-0.25,-0.23,1.65
Lomvastomig_HAVCR2-TIM3_Light_Chain_2,lomvastomig.py,107,5.68,11793.04,0.55,4.67,5.61,8.41,5.61,7.48,2.8,0.93,0.93,8.41,-0.33,-0.34,1.28
Lutikizumab_IL1A_Heavy_Chain_1,lutikizumab.py,119,8.68,12941.35,0.5,4.2,5.88,10.08,2.52,4.2,5.04,2.52,1.68,14.29,-0.26,-0.24,1.4
Lutikizumab_IL1A_Light_Chain_1,lutikizumab.py,107,7.97,11749.97,0.57,5.61,6.54,2.8,7.48,5.61,3.74,1.87,0.93,8.41,-0.32,-0.33,0.92
Lutikizumab_IL1B_Heavy_Chain_2,lutikizumab.py,122,9.51,13362.07,0.48,7.38,8.2,10.66,2.46,4.1,4.92,2.46,1.64,10.66,-0.09,-0.07,1.54
Lutikizumab_IL1B_Light_Chain_2,lutikizumab.py,107,6.76,11492.64,0.56,5.61,7.48,4.67,4.67,4.67,4.67,1.87,0.93,9.35,-0.29,-0.28,1.17
Marlotamig_Heavy_Chain_1,marlotamig.py,121,5.68,13348.77,0.56,3.31,6.61,9.92,5.79,4.13,1.65,3.31,0.83,8.26,-0.15,-0.14,1.3
Marlotamig_Light_Chain_1,marlotamig.py,108,8.06,11677.85,0.55,6.48,8.33,3.7,4.63,6.48,3.7,1.85,0,10.19,-0.35,-0.35,1.66
Marlotamig_Heavy_Chain_2,marlotamig.py,122,8.87,13603.14,0.56,3.28,6.56,9.02,5.74,4.1,0.82,4.1,0.82,9.84,-0.2,-0.19,1.22
Marlotamig_Light_Chain_2,marlotamig.py,108,8.06,11677.85,0.55,6.48,8.33,3.7,4.63,6.48,3.7,1.85,0,10.19,-0.35,-0.35,1.66
Mosunetuzumab|||Mosunetuzumab_INN light;Mosunetuzumab;IGKV4;Thera-SAbDab,mosunetuzumab.py,112,9.01,12388.82,0.57,5.36,8.93,5.36,5.36,4.46,3.57,1.79,0.89,7.14,-0.36,-0.36,1.28
Mosunetuzumab|||Mosunetuzumab_INN heavy;Mosunetuzumab;IGHV1;Thera-SAbDab,mosunetuzumab.py,119,6.85,13301.52,0.59,7.56,5.88,7.56,2.52,2.52,2.52,3.36,0,9.24,-0.48,-0.46,1.65
Navicixizumab_Heavy_Chain_1,navicixizumab.py,119,8.51,13377.71,0.6,7.56,4.2,8.4,3.36,1.68,2.52,2.52,1.68,8.4,-0.48,-0.46,1.65
Navicixizumab_Light_Chain_1,navicixizumab.py,111,4.92,11947.23,0.52,6.31,5.41,7.21,5.41,5.41,4.5,1.8,1.8,9.91,-0.27,-0.27,1.28
Navicixizumab_Heavy_Chain_2,navicixizumab.py,121,8.86,13713.28,0.59,4.96,5.79,9.09,1.65,3.31,2.48,3.31,3.31,7.44,-0.53,-0.51,1.65
Navicixizumab_Light_Chain_2,navicixizumab.py,111,4.92,11947.23,0.52,6.31,5.41,7.21,5.41,5.41,4.5,1.8,1.8,9.91,-0.27,-0.27,1.28
Nezastomig_FOLH1-GCPII-PSMA_Heavy_Chain_1,nezastomig.py,124,7.96,13969.47,0.53,5.65,7.26,8.87,0.81,1.61,6.45,2.42,3.23,10.48,-0.32,-0.3,1.65
Nezastomig_FOLH1-GCPII-PSMA_Light_Chain_1,nezastomig.py,108,8.06,11677.85,0.55,6.48,8.33,3.7,4.63,6.48,3.7,1.85,0,10.19,-0.35,-0.35,1.66
Nezastomig_CD28_Heavy_Chain_2,nezastomig.py,122,8.87,13603.14,0.56,3.28,6.56,9.02,5.74,4.1,0.82,4.1,0.82,9.84,-0.2,-0.19,1.22
Nezastomig_CD28_Light_Chain_2,nezastomig.py,108,8.06,11677.85,0.55,6.48,8.33,3.7,4.63,6.48,3.7,1.85,0,10.19,-0.35,-0.35,1.66
Obrixtamig_DLL3_Heavy_Chain_1,obrixtamig.py,124,8.89,13609.17,0.54,6.45,4.03,12.1,1.61,2.42,2.42,2.42,3.23,11.29,-0.25,-0.23,1.22
Obrixtamig_DLL3_Light_Chain_1,obrixtamig.py,107,8.62,11733.05,0.56,5.61,6.54,4.67,5.61,5.61,4.67,0.93,1.87,8.41,-0.29,-0.29,1.54
Obrixtamig_CD3E_Heavy_Chain_2,obrixtamig.py,125,8.9,13952.39,0.54,8.8,6.4,8.8,1.6,1.6,4,3.2,1.6,9.6,-0.36,-0.35,2.08
Obrixtamig_CD3E_Light_Chain_2,obrixtamig.py,109,8.08,11445.79,0.45,9.17,11.01,8.26,0.92,6.42,2.75,3.67,0,12.84,-0.06,-0.08,1.44
Odronextamab_MS4A1-CD20_Heavy_Chain_1,odronextamab.py,127,6.31,14131.5,0.55,6.3,7.09,8.66,2.36,1.57,2.36,3.15,2.36,11.02,-0.36,-0.34,1.38
Odronextamab_MS4A1-CD20_Light_Chain_1,odronextamab.py,107,8.72,11510.79,0.52,8.41,7.48,4.67,5.61,5.61,3.74,1.87,0.93,9.35,-0.17,-0.17,1.28
Odronextamab_CD3E_Heavy_Chain_2,odronextamab.py,123,6.99,13467.82,0.53,7.32,7.32,7.32,2.44,1.63,2.44,3.25,2.44,13.01,-0.35,-0.34,1.74
Odronextamab_CD3E_Light_Chain_2,odronextamab.py,107,8.72,11510.79,0.52,8.41,7.48,4.67,5.61,5.61,3.74,1.87,0.93,9.35,-0.17,-0.17,1.28
Pamvatamig_MET-HGFR_Heavy_Chain_1,pamvatamig.py,123,6.36,13608.99,0.54,6.5,5.69,8.13,1.63,4.07,4.88,3.25,1.63,10.57,-0.29,-0.27,1.65
Pamvatamig_MET-HGFR_Light_Chain_1,pamvatamig.py,107,8.64,11515.67,0.59,5.61,6.54,3.74,5.61,6.54,3.74,0.93,0.93,7.48,-0.37,-0.37,1.84
Pamvatamig_EGFR-ERBB1-HER1_Heavy_Chain_2,pamvatamig.py,122,8.59,13692.12,0.56,9.02,5.74,8.2,1.64,1.64,1.64,5.74,2.46,8.2,-0.42,-0.4,1.65
