Antibody_Name,Format_Folder,Source_File,Sequence_Length_Total_AA,pI,MW,Polar_Pct,GRAVY_Score,Avg_KD_Hydrophobicity,Max_KD_Hydrophobicity,AA_A_Pct,AA_C_Pct,AA_D_Pct,AA_E_Pct,AA_F_Pct,AA_G_Pct,AA_H_Pct,AA_I_Pct,AA_K_Pct,AA_L_Pct,AA_M_Pct,AA_N_Pct,AA_P_Pct,AA_Q_Pct,AA_R_Pct,AA_S_Pct,AA_T_Pct,AA_V_Pct,AA_W_Pct,AA_Y_Pct
dilpacimab,Bispecific_mAb,dilpacimab.py,455,7.022,49979.934,0.554,-0.350,-0.348,1.722,637.363,175.824,439.560,307.692,417.582,945.055,65.934,329.670,373.626,703.297,131.868,351.648,461.538,593.407,373.626,1274.725,879.121,593.407,241.758,703.297
elranatamab,Bispecific_mAb,elranatamab.py,456,8.745,50048.573,0.533,-0.300,-0.298,1.678,657.895,175.439,438.596,372.807,350.877,964.912,21.930,350.877,350.877,877.193,153.509,241.228,460.526,570.175,592.105,1315.789,679.825,614.035,241.228,570.175
epcoritamab,Bispecific_mAb,epcoritamab.py,463,8.746,50555.925,0.525,-0.249,-0.247,2.156,820.734,172.786,388.769,323.974,367.171,1015.119,64.795,345.572,323.974,777.538,129.590,410.367,345.572,518.359,518.359,1123.110,820.734,669.546,280.778,583.153
etentamig,Bispecific_mAb,etentamig.py,456,8.650,49278.204,0.533,-0.355,-0.353,1.678,767.544,175.439,328.947,416.667,307.018,1140.351,43.860,328.947,307.018,745.614,131.579,307.018,394.737,635.965,548.246,1337.719,701.754,592.105,263.158,526.316
etuptamig,Bispecific_mAb,etuptamig.py,458,8.782,49955.385,0.533,-0.302,-0.304,1.440,720.524,174.672,371.179,371.179,371.179,1048.035,21.834,240.175,545.852,698.690,152.838,414.847,371.179,502.183,349.345,1048.035,917.031,786.026,283.843,611.354
fanastomig,Bispecific_mAb,fanastomig.py,448,5.907,48776.709,0.560,-0.334,-0.331,1.611,669.643,178.571,513.393,357.143,223.214,959.821,89.286,446.429,468.750,691.964,133.929,223.214,379.464,580.357,334.821,1316.964,870.536,647.321,245.536,669.643
faricimab,Bispecific_mAb,faricimab.py,467,6.670,51340.307,0.550,-0.390,-0.392,1.722,599.572,171.306,471.092,278.373,321.199,1027.837,128.480,299.786,364.026,535.332,149.893,278.373,492.505,599.572,364.026,1220.557,856.531,770.878,299.786,770.878
fazpilodemab,Bispecific_mAb,fazpilodemab.py,454,4.750,49126.878,0.544,-0.269,-0.266,1.956,704.846,176.211,572.687,374.449,286.344,991.189,22.026,374.449,330.396,726.872,110.132,242.291,396.476,616.740,374.449,1233.480,881.057,748.899,220.264,616.740
forimtamig,Bispecific_mAb,forimtamig.py,463,8.987,50380.017,0.525,-0.249,-0.252,1.878,712.743,172.786,237.581,431.965,302.376,1036.717,43.197,323.974,388.769,820.734,107.991,280.778,475.162,561.555,475.162,1166.307,885.529,712.743,259.179,604.752
glofitamab,Bispecific_mAb,glofitamab.py,465,8.708,50484.098,0.514,-0.214,-0.212,1.944,666.667,172.043,322.581,387.097,322.581,1139.785,43.011,258.065,430.108,838.710,129.032,365.591,408.602,473.118,408.602,1118.280,795.699,817.204,279.570,623.656
gremubamab,Bispecific_mAb,gremubamab.py,457,8.542,49807.244,0.551,-0.288,-0.286,1.578,590.810,218.818,437.637,284.464,284.464,962.801,65.646,459.519,437.637,809.628,131.291,218.818,437.637,634.573,393.873,1356.674,897.155,547.046,262.582,568.928
ivicentamab,Bispecific_mAb,ivicentamab.py,459,7.661,49470.597,0.529,-0.232,-0.230,1.822,806.100,174.292,457.516,305.011,348.584,1045.752,21.786,370.370,413.943,806.100,130.719,370.370,348.584,544.662,370.370,1263.617,806.100,610.022,239.651,566.449
linclatamig,Bispecific_mAb,linclatamig.py,454,8.453,49998.359,0.559,-0.332,-0.330,1.278,660.793,176.211,462.555,440.529,374.449,859.031,22.026,396.476,506.608,748.899,110.132,264.317,374.449,462.555,484.581,1277.533,903.084,638.767,242.291,594.714
linvoseltamab,Bispecific_mAb,linvoseltamab.py,465,8.231,50791.933,0.563,-0.349,-0.347,1.844,602.151,215.054,473.118,301.075,365.591,967.742,43.011,387.097,387.097,752.688,150.538,236.559,387.097,666.667,451.613,1526.882,709.677,537.634,215.054,623.656
lomvastomig,Bispecific_mAb,lomvastomig.py,457,5.581,49888.183,0.532,-0.254,-0.252,1.889,634.573,175.055,525.164,371.991,328.228,984.683,65.646,393.873,393.873,743.982,131.291,262.582,437.637,590.810,415.755,1203.501,700.219,809.628,218.818,612.691
lutikizumab,Bispecific_mAb,lutikizumab.py,455,8.950,49491.987,0.523,-0.233,-0.229,1.544,571.429,175.824,417.582,285.714,461.538,1076.923,131.868,417.582,395.604,703.297,131.868,197.802,461.538,593.407,483.516,1296.703,769.231,725.275,219.780,483.516
marlotamig,Bispecific_mAb,marlotamig.py,459,8.455,50253.555,0.553,-0.255,-0.256,1.678,479.303,174.292,326.797,370.370,239.651,958.606,43.573,522.876,326.797,740.741,43.573,87.146,522.876,610.022,457.516,1525.054,893.246,675.381,283.224,718.954
mosunetuzumab,Bispecific_mAb,mosunetuzumab.py,231,8.561,25672.325,0.580,-0.421,-0.417,1.678,649.351,173.160,432.900,432.900,303.030,822.511,43.290,389.610,562.771,735.931,43.290,303.030,346.320,562.771,432.900,1212.121,909.091,649.351,259.740,735.931
navicixizumab,Bispecific_mAb,navicixizumab.py,462,7.600,50931.398,0.558,-0.389,-0.387,1.678,627.706,173.160,541.126,389.610,346.320,887.446,64.935,389.610,606.061,519.481,216.450,238.095,389.610,627.706,346.320,1233.766,735.931,800.866,238.095,627.706
nezastomig,Bispecific_mAb,nezastomig.py,462,8.715,50874.255,0.545,-0.300,-0.298,1.678,541.126,173.160,389.610,346.320,367.965,1017.316,64.935,389.610,324.675,757.576,108.225,108.225,454.545,627.706,541.126,1428.571,757.576,649.351,259.740,692.641
obrixtamig,Bispecific_mAb,obrixtamig.py,465,8.956,50686.355,0.525,-0.244,-0.246,1.544,752.688,172.043,279.570,387.097,344.086,1053.763,64.516,236.559,451.613,688.172,172.043,365.591,387.097,516.129,408.602,1010.753,946.237,860.215,258.065,645.161
odronextamab,Bispecific_mAb,odronextamab.py,464,8.304,50566.860,0.532,-0.269,-0.267,1.756,754.310,172.414,344.828,387.931,301.724,1077.586,150.862,387.931,323.276,732.759,172.414,280.172,344.828,538.793,474.138,1293.103,711.207,646.552,258.621,646.552
pamvatamig,Bispecific_mAb,pamvatamig.py,459,8.695,50278.417,0.566,-0.361,-0.359,1.844,675.381,174.292,413.943,239.651,348.584,849.673,43.573,348.584,457.516,610.022,152.505,152.505,457.516,784.314,326.797,1437.908,980.392,610.022,283.224,653.595
petosemtamab,Bispecific_mAb,petosemtamab.py,461,7.959,50377.477,0.568,-0.328,-0.325,1.844,629.067,216.920,433.839,281.996,412.148,867.679,43.384,368.764,455.531,650.759,130.152,195.228,433.839,737.527,303.688,1475.054,911.063,585.683,238.612,629.067
reozalimab,Bispecific_mAb,reozalimab.py,460,8.295,48712.582,0.539,-0.227,-0.228,1.950,739.130,173.913,347.826,304.348,304.348,1065.217,43.478,434.783,413.043,565.217,130.435,152.174,456.522,695.652,304.348,1652.174,782.609,717.391,195.652,521.739
rezetamig,Bispecific_mAb,rezetamig.py,455,8.640,49491.425,0.547,-0.343,-0.341,1.678,703.297,175.824,285.714,395.604,263.736,1010.989,65.934,395.604,307.692,769.231,87.912,329.670,417.582,637.363,483.516,1428.571,791.209,571.429,307.692,571.429
rilvegostomig,Bispecific_mAb,rilvegostomig.py,465,8.635,50778.082,0.533,-0.293,-0.295,1.678,709.677,172.043,365.591,322.581,322.581,989.247,107.527,322.581,258.065,817.204,129.032,279.570,473.118,645.161,537.634,1333.333,688.172,666.667,236.559,623.656
romilkimab,Bispecific_mAb,romilkimab.py,459,5.501,50127.386,0.545,-0.310,-0.311,1.767,610.022,174.292,544.662,370.370,348.584,936.819,108.932,501.089,413.943,784.314,152.505,174.292,457.516,653.595,370.370,1307.190,827.887,522.876,239.651,501.089
sabestomig,Bispecific_mAb,sabestomig.py,464,8.464,50660.730,0.541,-0.317,-0.319,1.678,689.655,172.414,366.379,366.379,366.379,1099.138,107.759,323.276,301.724,775.862,107.759,301.724,409.483,495.690,517.241,1314.655,732.759,603.448,215.517,732.759
simridarlimab,Bispecific_mAb,simridarlimab.py,354,9.002,37730.939,0.523,-0.166,-0.168,1.933,734.463,169.492,282.486,310.734,254.237,1073.446,56.497,423.729,423.729,847.458,112.994,225.989,451.977,593.220,367.232,1440.678,847.458,649.718,225.989,508.475
talquetamab,Bispecific_mAb,talquetamab.py,459,9.355,49990.457,0.542,-0.336,-0.338,1.440,784.314,174.292,261.438,305.011,261.438,1023.965,43.573,196.078,435.730,740.741,152.505,413.943,392.157,610.022,479.303,1067.538,958.606,784.314,239.651,675.381
tecaginlimab,Bispecific_mAb,tecaginlimab.py,456,8.028,49561.825,0.550,-0.259,-0.256,1.678,570.175,175.439,416.667,350.877,241.228,1118.421,65.789,460.526,438.596,679.825,175.439,219.298,328.947,548.246,372.807,1315.789,833.333,723.684,197.368,767.544
teclistamab,Bispecific_mAb,teclistamab.py,463,8.737,49535.685,0.514,-0.197,-0.202,1.622,691.145,172.786,302.376,302.376,259.179,1166.307,86.393,280.778,345.572,755.940,43.197,388.769,475.162,496.760,388.769,1209.503,863.931,907.127,280.778,583.153
tepoditamab,Bispecific_mAb,tepoditamab.py,450,9.119,49053.191,0.564,-0.364,-0.361,1.844,600.000,177.778,377.778,222.222,333.333,933.333,44.444,355.556,444.444,600.000,177.778,177.778,444.444,800.000,400.000,1488.889,911.111,666.667,244.444,600.000
tilatamig,Bispecific_mAb,tilatamig.py,458,8.809,49487.787,0.552,-0.343,-0.345,2.211,676.856,174.672,393.013,327.511,262.009,1026.201,87.336,349.345,480.349,589.520,240.175,152.838,414.847,655.022,393.013,1375.546,917.031,698.690,218.341,567.686
tobemstomig,Bispecific_mAb,tobemstomig.py,459,5.078,49793.925,0.542,-0.226,-0.224,1.889,544.662,174.292,566.449,326.797,348.584,1045.752,21.786,392.157,370.370,871.460,130.719,217.865,348.584,588.235,392.157,1350.763,849.673,675.381,217.865,566.449
trontinemab,Bispecific_mAb,trontinemab.py,466,9.118,50050.311,0.545,-0.230,-0.228,1.678,772.532,171.674,343.348,257.511,300.429,987.124,42.918,386.266,386.266,751.073,107.296,193.133,429.185,536.481,450.644,1545.064,901.288,600.858,214.592,622.318
ubamatamab,Bispecific_mAb,ubamatamab.py,457,9.118,49654.929,0.554,-0.305,-0.303,1.567,547.046,175.055,393.873,240.700,371.991,1050.328,43.764,459.519,415.755,765.864,131.291,218.818,415.755,656.455,459.519,1531.729,787.746,525.164,196.937,612.691
ubletamig,Bispecific_mAb,ubletamig.py,467,8.455,51106.332,0.552,-0.320,-0.318,1.678,556.745,171.306,364.026,406.852,278.373,1092.077,85.653,428.266,321.199,728.051,85.653,21.413,449.679,556.745,535.332,1456.103,856.531,599.572,256.959,749.465
vanucizumab,Bispecific_mAb,vanucizumab.py,467,7.111,51221.168,0.552,-0.410,-0.408,1.722,599.572,171.306,449.679,278.373,321.199,1027.837,128.480,299.786,364.026,492.505,171.306,299.786,513.919,620.985,364.026,1220.557,877.944,770.878,278.373,749.465
volrustomig,Bispecific_mAb,volrustomig.py,466,8.787,51490.836,0.554,-0.335,-0.333,1.844,686.695,171.674,386.266,300.429,386.266,922.747,85.837,343.348,343.348,729.614,150.215,257.511,429.185,600.858,493.562,1351.931,772.532,579.399,236.052,772.532
vonsetamig,Bispecific_mAb,vonsetamig.py,465,7.992,50820.991,0.561,-0.331,-0.329,1.844,602.151,215.054,473.118,301.075,365.591,967.742,21.505,408.602,365.591,731.183,172.043,236.559,387.097,666.667,451.613,1526.882,709.677,537.634,215.054,645.161
voxalatamab,Bispecific_mAb,voxalatamab.py,465,8.734,50337.537,0.527,-0.280,-0.283,1.678,795.699,172.043,322.581,387.097,322.581,1096.774,43.011,215.054,344.086,881.720,86.022,387.097,387.097,516.129,494.624,1182.796,817.204,688.172,258.065,602.151
zemocimig,Bispecific_mAb,zemocimig.py,455,6.098,49707.668,0.552,-0.420,-0.422,1.678,637.363,175.824,395.604,593.407,241.758,1098.901,65.934,373.626,307.692,659.341,131.868,219.780,373.626,593.407,637.363,1142.857,835.165,747.253,219.780,549.451
zenocutuzumab,Bispecific_mAb,zenocutuzumab.py,459,9.020,50288.469,0.562,-0.377,-0.375,1.844,718.954,174.292,348.584,261.438,348.584,893.246,65.359,370.370,435.730,566.449,152.505,130.719,479.303,784.314,392.157,1459.695,871.460,588.235,261.438,697.168
zeripatamig,Bispecific_mAb,zeripatamig.py,452,8.288,48787.633,0.558,-0.312,-0.314,1.844,641.593,176.991,420.354,331.858,331.858,1039.823,44.248,353.982,420.354,707.965,154.867,221.239,376.106,575.221,398.230,1615.044,730.088,619.469,199.115,641.593
zifibancimig,Bispecific_mAb,zifibancimig.py,444,5.965,50013.197,0.554,-0.439,-0.436,1.722,495.495,180.180,630.631,495.495,495.495,945.946,315.315,360.360,540.541,720.721,135.135,180.180,405.405,405.405,405.405,1081.081,630.631,630.631,270.270,675.676
zubotamig,Bispecific_mAb,zubotamig.py,458,9.166,49677.978,0.526,-0.241,-0.247,1.440,676.856,174.672,327.511,262.009,414.847,1091.703,43.668,371.179,393.013,764.192,87.336,414.847,371.179,567.686,436.681,1244.541,895.197,655.022,305.677,502.183
acapatamab,Bispecific_scFv,acapatamab.py,462,8.504,50548.093,0.532,-0.247,-0.249,1.789,714.286,216.450,411.255,303.030,324.675,1038.961,43.290,324.675,454.545,757.576,129.870,367.965,367.965,584.416,367.965,1060.606,800.866,757.576,259.740,714.286
bavunalimab,Bispecific_scFv,bavunalimab.py,458,5.453,49955.961,0.537,-0.312,-0.310,1.678,720.524,174.672,502.183,436.681,393.013,1004.367,65.502,327.511,371.179,764.192,131.004,196.507,414.847,524.017,458.515,1331.878,742.358,611.354,262.009,567.686
blinatumomab,Bispecific_scFv,blinatumomab.py,459,7.969,50520.525,0.586,-0.515,-0.515,1.311,697.168,196.078,501.089,326.797,217.865,871.460,87.146,370.370,544.662,610.022,217.865,239.651,413.943,653.595,326.797,1372.549,893.246,457.516,283.224,718.954
brolucizumab,Bispecific_scFv,brolucizumab.py,230,4.932,24867.517,0.504,-0.116,-0.120,2.078,739.130,173.913,521.739,304.348,304.348,1086.957,86.957,434.783,304.348,956.522,130.435,304.348,391.304,521.739,304.348,1130.435,826.087,608.696,304.348,565.217
cabotamig,Bispecific_scFv,cabotamig.py,452,8.282,49319.385,0.558,-0.319,-0.317,1.389,553.097,176.991,486.726,287.611,331.858,1039.823,0.000,376.106,420.354,774.336,132.743,309.735,353.982,597.345,420.354,1305.310,907.080,641.593,221.239,663.717
cadonilimab,Bispecific_scFv,cadonilimab.py,446,8.814,48745.293,0.538,-0.239,-0.241,1.933,695.067,246.637,336.323,336.323,358.744,919.283,22.422,313.901,426.009,717.489,156.951,381.166,426.009,605.381,426.009,1076.233,964.126,784.753,246.637,560.538
cizutamig,Bispecific_scFv,cizutamig.py,459,8.563,50590.965,0.560,-0.398,-0.396,1.311,718.954,174.292,479.303,370.370,326.797,915.033,43.573,370.370,544.662,610.022,196.078,283.224,370.370,544.662,413.943,1176.471,893.246,631.808,261.438,675.381
cugrastomig,Bispecific_scFv,cugrastomig.py,452,7.603,49821.984,0.544,-0.349,-0.350,1.678,663.717,176.991,442.478,353.982,353.982,929.204,22.124,376.106,331.858,907.080,110.619,331.858,464.602,619.469,486.726,1261.062,796.460,464.602,287.611,619.469
danvilostomig,Bispecific_scFv,danvilostomig.py,450,8.614,48686.883,0.524,-0.204,-0.201,1.678,711.111,177.778,355.556,311.111,333.333,1133.333,22.222,400.000,333.333,822.222,111.111,266.667,377.778,600.000,444.444,1266.667,822.222,622.222,244.444,644.444
donzakimig1,Bispecific_scFv,donzakimig1.py,462,6.650,49755.155,0.519,-0.107,-0.105,1.689,714.286,216.450,432.900,324.675,346.320,1038.961,0.000,519.481,367.965,735.931,86.580,238.095,389.610,497.835,389.610,1363.636,822.511,692.641,281.385,541.126
duvortuxizumab,Bispecific_scFv,duvortuxizumab.py,460,8.915,50298.822,0.530,-0.290,-0.296,1.440,760.870,173.913,347.826,326.087,326.087,978.261,86.957,239.130,413.043,804.348,152.174,347.826,434.783,500.000,434.783,1043.478,1065.217,673.913,326.087,565.217
eluvixtamab,Bispecific_scFv,eluvixtamab.py,469,8.010,51230.408,0.546,-0.409,-0.411,1.678,597.015,170.576,405.117,362.473,298.507,1087.420,42.644,255.864,469.083,660.981,149.254,405.117,447.761,575.693,341.151,1066.098,1002.132,724.947,319.829,618.337
emerfetamab,Bispecific_scFv,emerfetamab.py,469,7.956,51251.513,0.548,-0.390,-0.392,1.678,597.015,213.220,405.117,362.473,298.507,1066.098,42.644,255.864,469.083,660.981,149.254,405.117,447.761,554.371,341.151,1066.098,1002.132,724.947,319.829,618.337
emfizatamab1,Bispecific_scFv,emfizatamab1.py,460,8.619,49675.160,0.526,-0.161,-0.158,2.422,695.652,173.913,413.043,304.348,369.565,1000.000,21.739,608.696,456.522,652.174,130.435,195.652,391.304,565.217,369.565,1500.000,760.870,608.696,282.609,500.000
emfizatamab2,Bispecific_scFv,emfizatamab2.py,459,8.251,48769.825,0.527,-0.187,-0.185,1.944,806.100,217.865,457.516,239.651,305.011,1154.684,43.573,413.943,348.584,718.954,174.292,261.438,348.584,544.662,413.943,1437.908,762.527,610.022,196.078,544.662
emirodatamab,Bispecific_scFv,emirodatamab.py,465,9.036,50566.310,0.535,-0.266,-0.272,1.440,580.645,215.054,322.581,322.581,322.581,1053.763,64.516,301.075,494.624,838.710,107.527,408.602,451.613,494.624,387.097,1075.269,1010.753,731.183,258.065,559.140
enristomig,Bispecific_scFv,enristomig.py,232,9.264,25146.025,0.513,-0.267,-0.254,1.733,862.069,172.414,172.414,603.448,301.724,1120.690,0.000,301.724,431.034,732.759,129.310,387.931,344.828,474.138,646.552,1077.586,646.552,862.069,215.517,517.241
envafolimab,Bispecific_scFv,envafolimab.py,128,9.026,13807.384,0.555,-0.267,-0.249,1.650,859.375,312.500,390.625,390.625,312.500,937.500,0.000,78.125,390.625,859.375,234.375,234.375,234.375,546.875,703.125,1328.125,859.375,781.250,156.250,390.625
erfonrilimab,Bispecific_scFv,erfonrilimab.py,256,8.585,27296.365,0.516,-0.135,-0.125,1.711,859.375,312.500,351.562,351.562,273.438,1250.000,0.000,234.375,312.500,820.312,195.312,234.375,273.438,507.812,546.875,1210.938,742.188,742.188,195.312,585.938
etevritamab,Bispecific_scFv,etevritamab.py,470,8.928,51545.155,0.532,-0.319,-0.321,1.744,595.745,212.766,425.532,319.149,319.149,1106.383,106.383,255.319,340.426,765.957,127.660,382.979,404.255,510.638,595.745,1021.277,808.511,851.064,255.319,595.745
flotetuzumab,Bispecific_scFv,flotetuzumab.py,467,8.945,51176.732,0.540,-0.309,-0.311,1.489,728.051,171.306,364.026,342.612,321.199,985.011,42.827,235.546,492.505,792.291,128.480,364.026,364.026,556.745,406.852,1134.904,877.944,749.465,299.786,642.398
galvokimig1,Bispecific_scFv,galvokimig1.py,463,8.007,50646.131,0.536,-0.236,-0.234,1.722,626.350,215.983,410.367,367.171,345.572,971.922,43.197,453.564,367.171,755.940,107.991,259.179,431.965,539.957,453.564,1295.896,842.333,647.948,302.376,561.555
gefurulimab,Bispecific_scFv,gefurulimab.py,249,8.612,27254.922,0.534,-0.382,-0.373,2.089,1084.337,160.643,481.928,401.606,281.124,1004.016,40.161,160.643,281.124,682.731,160.643,361.446,240.964,562.249,722.892,1124.498,522.088,803.213,240.964,682.731
givastomig,Bispecific_scFv,givastomig.py,464,8.197,50942.114,0.567,-0.410,-0.412,1.678,668.103,215.517,474.138,366.379,258.621,926.724,43.103,323.276,409.483,732.759,150.862,323.276,431.034,538.793,495.690,1336.207,732.759,625.000,215.517,732.759
gocatamig1,Bispecific_scFv,gocatamig1.py,349,9.089,37529.664,0.516,-0.202,-0.205,1.522,687.679,171.920,286.533,343.840,315.186,1174.785,28.653,229.226,429.799,859.599,85.960,429.799,372.493,487.106,429.799,1117.479,888.252,859.599,257.880,544.413
gocatamig2,Bispecific_scFv,gocatamig2.py,117,8.029,12630.040,0.530,-0.085,-0.065,1.650,769.231,170.940,427.350,341.880,85.470,940.171,0.000,341.880,341.880,940.171,170.940,256.410,256.410,427.350,512.821,1623.932,512.821,940.171,256.410,683.761
gontivimab,Bispecific_scFv,gontivimab.py,252,4.667,26841.304,0.476,-0.240,-0.234,1.289,873.016,158.730,515.873,357.143,238.095,1428.571,0.000,476.190,158.730,634.921,79.365,555.556,476.190,396.825,476.190,952.381,555.556,714.286,317.460,634.921
gresonitamab,Bispecific_scFv,gresonitamab.py,466,9.194,50828.526,0.532,-0.304,-0.306,1.567,708.155,214.592,321.888,278.970,300.429,1094.421,42.918,278.970,450.644,643.777,171.674,364.807,407.725,600.858,450.644,1008.584,944.206,793.991,278.970,643.777
imvotamab,Bispecific_scFv,imvotamab.py,460,8.851,50213.650,0.554,-0.362,-0.360,1.156,586.957,173.913,434.783,282.609,304.348,956.522,65.217,413.043,543.478,586.957,195.652,152.174,521.739,630.435,347.826,1456.522,782.609,652.174,239.130,673.913
inezetamab,Bispecific_scFv,inezetamab.py,455,8.861,49154.345,0.543,-0.209,-0.206,1.489,703.297,219.780,395.604,263.736,373.626,1010.989,43.956,439.560,373.626,703.297,131.868,263.736,329.670,571.429,461.538,1560.440,725.275,637.363,241.758,549.451
ingitamig,Bispecific_scFv,ingitamig.py,454,8.257,48816.024,0.520,-0.205,-0.202,1.844,770.925,220.264,396.476,352.423,396.476,1057.269,22.026,352.423,352.423,770.925,132.159,176.211,462.555,572.687,462.555,1475.771,660.793,616.740,242.291,506.608
isecarosmab,Bispecific_scFv,isecarosmab.py,239,8.348,25789.427,0.540,-0.260,-0.250,1.650,669.456,167.364,418.410,460.251,334.728,1087.866,0.000,251.046,251.046,836.820,167.364,292.887,292.887,418.410,711.297,1506.276,669.456,794.979,167.364,502.092
istiratumab,Bispecific_scFv,istiratumab.py,459,8.063,49555.549,0.525,-0.306,-0.308,1.520,740.741,174.292,501.089,239.651,326.797,1176.471,43.573,326.797,348.584,784.314,130.719,261.438,392.157,697.168,435.730,1241.830,718.954,610.022,261.438,588.235
itanistomig,Bispecific_scFv,itanistomig.py,457,8.827,49886.482,0.536,-0.295,-0.292,1.711,568.928,175.055,350.109,371.991,415.755,984.683,109.409,459.519,481.400,612.691,175.055,218.818,503.282,656.455,393.873,1291.028,809.628,700.219,218.818,503.282
ivonescimab,Bispecific_scFv,ivonescimab.py,455,8.046,50132.263,0.549,-0.341,-0.338,1.722,615.385,175.824,439.560,307.692,417.582,989.011,65.934,285.714,373.626,747.253,175.824,285.714,417.582,593.407,417.582,1296.703,835.165,593.407,263.736,703.297
izalontamab,Bispecific_scFv,izalontamab.py,455,8.048,49296.068,0.554,-0.298,-0.303,1.744,505.495,175.824,483.516,241.758,351.648,1054.945,87.912,461.538,351.648,725.275,87.912,417.582,351.648,571.429,417.582,1560.440,681.319,681.319,241.758,549.451
izuralimab,Bispecific_scFv,izuralimab.py,461,8.793,50912.208,0.555,-0.378,-0.375,2.111,585.683,173.536,390.456,347.072,368.764,1041.215,108.460,325.380,390.456,585.683,173.536,260.304,368.764,629.067,498.915,1171.367,867.679,759.219,238.612,715.835
ledostomig,Bispecific_scFv,ledostomig.py,459,8.255,50391.560,0.562,-0.369,-0.367,1.678,631.808,174.292,435.730,348.584,348.584,958.606,21.786,283.224,435.730,762.527,174.292,326.797,370.370,653.595,413.943,1307.190,784.314,653.595,196.078,718.954
