Therapeutic,Total_SASA,Net_Charge,Hydro_SASA,Ch_A_Fv_Hydro,Ch_A_Fc_Hydro,Ch_A_Max_Patch,Ch_A_SASA,Ch_A_Charge,Ch_B_Fv_Hydro,Ch_B_Fc_Hydro,Ch_B_Max_Patch,Ch_B_SASA,Ch_B_Charge,Ch_C_Fv_Hydro,Ch_C_Fc_Hydro,Ch_C_Max_Patch,Ch_C_SASA,Ch_C_Charge,Ch_D_Fv_Hydro,Ch_D_Fc_Hydro,Ch_D_Max_Patch,Ch_D_SASA,Ch_D_Charge
Bebtelovimab,7337.93,11,2253.3,0.3288,0.3521,67.63,2771.3,7.2,0,0.1982,0,897.67,-1.7,0.3288,0.3521,67.63,2771.3,7.2,0,0.1982,0,897.67,-1.7
Becotatug,6760.11,-1.4,2629.97,0.2843,0.3878,0,2521.93,2,0,0.5347,0,858.13,-2.7,0.2843,0.3878,0,2521.93,2,0,0.5347,0,858.13,-2.7
Belantamab,6721.99,16.8,2440.15,0.4764,0.3832,0,2186.93,7.1,0,0.2662,10.87,1174.07,1.3,0.4764,0.3832,0,2186.93,7.1,0,0.2662,10.87,1174.07,1.3
Belimumab,8081.55,10.8,3233.79,0.6338,0.4392,0,2767.27,8.1,0,0.2207,0,1273.5,-2.7,0.6338,0.4392,0,2767.27,8.1,0,0.2207,0,1273.5,-2.7
Belrestotug,6704.52,14.6,3247.02,0.5392,0.5735,0,2406.28,6.1,0,0.2963,21.33,945.98,1.2,0.5392,0.5735,0,2406.28,6.1,0,0.2963,21.33,945.98,1.2
Bemarituzumab,6510.84,14.6,2797.09,0.4327,0.5388,0,2063.18,6,0,0.301,0,1192.24,1.3,0.4327,0.5388,0,2063.18,6,0,0.301,0,1192.24,1.3
Benmelstobart,9269.48,12.4,3490.61,0.4218,0.3501,0,3963.51,7,0,0.3299,3.62,671.23,-0.8,0.4218,0.3501,0,3963.51,7,0,0.3299,3.62,671.23,-0.8
Benralizumab,7022.84,16.6,2583.47,0.3491,0.4483,0,2652.48,9,0,0.2078,0,858.94,-0.7,0.3491,0.4483,0,2652.48,9,0,0.2078,0,858.94,-0.7
Bentracimab,6831.72,8.6,2984.06,0.4465,0.5064,16.63,2944.4,3.1,0,0.1662,0,471.46,1.2,0.4465,0.5064,16.63,2944.4,3.1,0,0.1662,0,471.46,1.2
Betinukibart,8077.23,3,3970.78,0.5866,0.5411,0,2524.22,2.9,0,0.3796,0,1514.4,-1.4,0.5866,0.5411,0,2524.22,2.9,0,0.3796,0,1514.4,-1.4
Bevacizumab,6544.96,8.8,2615.69,0.4806,0.3895,0,2679.82,5.1,0,0.3214,0,592.66,-0.7,0.4806,0.3895,0,2679.82,5.1,0,0.3214,0,592.66,-0.7
Bezlotoxumab,6892.33,18.2,2573.39,0.3767,0.4286,0,2289.86,8.9,0,0.3043,51.93,1156.31,0.2,0.3767,0.4286,0,2289.86,8.9,0,0.3043,51.93,1156.31,0.2
Bimekizumab,6718.05,10.6,2367.8,0.4865,0.308,0,2689.7,6,0,0.3596,0,669.33,-0.7,0.4865,0.308,0,2689.7,6,0,0.3596,0,669.33,-0.7
Bintrafusp,7150.91,16.4,3345.05,0.5921,0.4673,27.66,2949.05,6.9,0,0.2269,0,626.41,1.3,0.5921,0.4673,27.66,2949.05,6.9,0,0.2269,0,626.41,1.3
Birtamimab,7151.81,14.8,3362.93,0.656,0.3499,122.29,2452.31,6.9,0,0.3813,0,1123.6,0.5,0.656,0.3499,122.29,2452.31,6.9,0,0.3813,0,1123.6,0.5
Bococizumab,6731.92,18.2,2751.93,0.381,0.4008,0,2537.43,4.9,0,0.4575,0,828.53,4.2,0.381,0.4008,0,2537.43,4.9,0,0.4575,0,828.53,4.2
Brazikumab,6661.72,2.4,1965.08,0.3229,0.2215,85.35,2167.76,1.9,0,0.3569,0,1163.1,-0.7,0.3229,0.2215,85.35,2167.76,1.9,0,0.3569,0,1163.1,-0.7
Bremzalerbart,5824.59,5.8,2187.06,0.3968,0.3747,0,1652.42,0.7,0,0.3648,1.21,1259.87,2.2,0.3968,0.3747,0,1652.42,0.7,0,0.3648,1.21,1259.87,2.2
Brentuximab,6842.24,0.4,2761.38,0.4874,0.5117,29.96,2278,6.9,0,0.2071,24.15,1143.11,-6.7,0.4874,0.5117,29.96,2278,6.9,0,0.2071,24.15,1143.11,-6.7
Brodalumab,8133.92,12,1983.55,0.2301,0.2218,0,2112.62,6.8,0,0.2634,12.08,1954.34,-0.8,0.2301,0.2218,0,2112.62,6.8,0,0.2634,12.08,1954.34,-0.8
Burosumab,6841.29,10.6,3705.58,0.7337,0.5456,0,2184.02,6.1,0,0.3822,0,1236.62,-0.8,0.7337,0.5456,0,2184.02,6.1,0,0.3822,0,1236.62,-0.8
Camrelizumab,7195.12,1.8,2712.45,0.3558,0.4792,0,2257.58,1.7,0,0.3079,0,1339.98,-0.8,0.3558,0.4792,0,2257.58,1.7,0,0.3079,0,1339.98,-0.8
Canakinumab,6181.2,10.6,2424.37,0.46,0.3772,24.04,1964.19,5.9,0,0.3486,0,1126.41,-0.6,0.46,0.3772,24.04,1964.19,5.9,0,0.3486,0,1126.41,-0.6
Cemiplimab,10002.6,2,3526.16,0.2138,0.4279,0,3033.35,1.7,0,0.3876,21.17,1967.95,-0.7,0.2138,0.4279,0,3033.35,1.7,0,0.3876,21.17,1967.95,-0.7
Cendakimab,6603,16.6,2599.22,0.3667,0.445,25.36,2584.1,6,0,0.2971,0,717.39,2.3,0.3667,0.445,25.36,2584.1,6,0,0.2971,0,717.39,2.3
Cetrelimab,6659.02,1.8,2040.51,0.4771,0.1837,113.13,2521.6,-0.3,0,0.3935,1.21,807.91,1.2,0.4771,0.1837,113.13,2521.6,-0.3,0,0.3935,1.21,807.91,1.2
Cetuximab,6501.87,10.6,2265.55,0.3276,0.297,0,2739.18,7,0,0.5454,0,511.75,-1.7,0.3276,0.297,0,2739.18,7,0,0.5454,0,511.75,-1.7
Cilgavimab,7657.95,10.2,2935.36,0.4254,0.4034,0,2530.72,5.9,0,0.3268,18,1298.26,-0.8,0.4254,0.4034,0,2530.72,5.9,0,0.3268,18,1298.26,-0.8
Clazakizumab,7606.42,6.2,3446.36,0.5112,0.4661,0,2766.92,1.9,0,0.3728,0,1036.29,1.2,0.5112,0.4661,0,2766.92,1.9,0,0.3728,0,1036.29,1.2
Cobolimab,10143.76,6.2,3806.72,0.3173,0.3288,0,2792.96,-0.3,0,0.4389,4.83,2278.93,3.4,0.3173,0.3288,0,2792.96,-0.3,0,0.4389,4.83,2278.93,3.4
Comekibart,6674.64,8.2,2243.83,0.3017,0.2169,0,2252.96,2.8,0,0.5225,51.93,1084.36,1.3,0.3017,0.2169,0,2252.96,2.8,0,0.5225,51.93,1084.36,1.3
Concizumab,6490.52,-6,2256.13,0.335,0.3219,0,2158.45,-0.3,0,0.3878,0,1086.81,-2.7,0.335,0.3219,0,2158.45,-0.3,0,0.3878,0,1086.81,-2.7
Cosibelimab,7460.81,6.6,3066.03,0.439,0.397,0,3117.06,5.9,0,0.4129,0,613.35,-2.6,0.439,0.397,0,3117.06,5.9,0,0.4129,0,613.35,-2.6
Crizanlizumab,7260.44,-1.8,2597,0.3767,0.2718,0,2461.49,2.8,0,0.4452,7.25,1168.73,-3.7,0.3767,0.2718,0,2461.49,2.8,0,0.4452,7.25,1168.73,-3.7
Crovalimab,8606.82,10.8,3419.19,0.4421,0.3607,7.11,3766.71,5.2,0,0.3792,0,536.7,0.2,0.4421,0.3607,7.11,3766.71,5.2,0,0.3792,0,536.7,0.2
Daclizumab,6566.66,14.8,3022.5,0.4684,0.5162,0,2323.98,6,0,0.3716,0,959.35,1.4,0.4684,0.5162,0,2323.98,6,0,0.3716,0,959.35,1.4
Daratumumab,7642.53,10.2,3129.43,0.4489,0.4197,0,3395.25,4.9,0,0.2352,0,426.01,0.2,0.4489,0.4197,0,3395.25,4.9,0,0.2352,0,426.01,0.2
Datopotamab,7412.8,16.6,2715.92,0.4716,0.3663,0,2393.68,7,0,0.2938,40.92,1312.72,1.3,0.4716,0.3663,0,2393.68,7,0,0.2938,40.92,1312.72,1.3
Dazukibart,6202.1,12.8,2567.01,0.3387,0.4891,0,2251.85,5.1,0,0.3846,0,849.2,1.3,0.3387,0.4891,0,2251.85,5.1,0,0.3846,0,849.2,1.3
Delpacibart,6585.86,16.8,2971.13,0.5089,0.4466,0,2665.14,9.1,0,0.3617,0,627.79,-0.7,0.5089,0.4466,0,2665.14,9.1,0,0.3617,0,627.79,-0.7
Denosumab,6760.94,10,2439.89,0.3981,0.2521,0,2170.2,1.8,0,0.485,24.13,1210.26,3.2,0.3981,0.2521,0,2170.2,1.8,0,0.485,24.13,1210.26,3.2
Depemokimab,7064.02,12.6,2912.1,0.3333,0.5343,0,2273.96,7,0,0.3387,4.83,1258.05,-0.7,0.3333,0.5343,0,2273.96,7,0,0.3387,4.83,1258.05,-0.7
Derlotuximab,7284.65,20.4,2799.53,0.3817,0.4586,12.08,2576.12,9.9,0,0.2765,0,1066.21,0.3,0.3817,0.4586,12.08,2576.12,9.9,0,0.2765,0,1066.21,0.3
Dinutuximab,7274.31,17.2,3342.05,0.5493,0.4958,0,2442.72,5,0,0.3477,0,1194.44,3.6,0.5493,0.4958,0,2442.72,5,0,0.3477,0,1194.44,3.6
Disitamab,7428.15,11.2,3720.85,0.5152,0.4849,0,2355.6,4.2,0,0.5114,208.96,1358.47,1.4,0.5152,0.4849,0,2355.6,4.2,0,0.5114,208.96,1358.47,1.4
Divozilimab,7463.31,20.6,2907.12,0.4238,0.4611,0,2333.32,8,0,0.2881,0,1398.33,2.3,0.4238,0.4611,0,2333.32,8,0,0.2881,0,1398.33,2.3
Domvanalimab,6332.19,16.6,2992.7,0.5578,0.3704,26.57,2348.45,6,0,0.5549,22.72,817.64,2.3,0.5578,0.3704,26.57,2348.45,6,0,0.5549,22.72,817.64,2.3
Donanemab,7777.44,16.4,3974.94,0.644,0.4681,0,2281.4,6.9,0,0.4849,0,1607.32,1.3,0.644,0.4681,0,2281.4,6.9,0,0.4849,0,1607.32,1.3
Dostarlimab,7387.02,0.2,3052.08,0.2905,0.4801,0,2571.52,-0.3,0,0.4503,146.45,1121.99,0.4,0.2905,0.4801,0,2571.52,-0.3,0,0.4503,146.45,1121.99,0.4
Drotokibart,7535.09,6,3241.35,0.5703,0.3338,51.93,2401.67,2.8,0,0.4153,36.23,1365.88,0.2,0.5703,0.3338,51.93,2401.67,2.8,0,0.4153,36.23,1365.88,0.2
Dupilumab,5952.26,1.8,2570.05,0.4832,0.3904,0,2053.48,2.7,0,0.4414,0,922.65,-1.8,0.4832,0.3904,0,2053.48,2.7,0,0.4414,0,922.65,-1.8
Durvalumab,5981.18,10.2,2051.78,0.4007,0.3067,0,1985.75,4.9,0,0.3398,118.3,1004.84,0.2,0.4007,0.3067,0,1985.75,4.9,0,0.3398,118.3,1004.84,0.2
Ebdarokimab,6847.25,12.2,2845.77,0.3889,0.4521,0,2429.08,6.9,0,0.3865,74.44,994.55,-0.8,0.3889,0.4521,0,2429.08,6.9,0,0.3865,74.44,994.55,-0.8
Ebronucimab,7385.85,0.6,2596.48,0.6025,0.247,0,3148.83,2.9,0,0.2116,0,544.1,-2.6,0.6025,0.247,0,3148.83,2.9,0,0.2116,0,544.1,-2.6
Eculizumab,7425.91,-2,2828.24,0.4313,0.3194,0,2384.44,0.8,0,0.4118,0,1328.52,-1.8,0.4313,0.3194,0,2384.44,0.8,0,0.4118,0,1328.52,-1.8
Efalizumab,6049.83,16.8,2581.92,0.5236,0.4357,0,2095.74,6.1,0,0.3406,56.62,929.17,2.3,0.5236,0.4357,0,2095.74,6.1,0,0.3406,56.62,929.17,2.3
Elotuzumab,6502.13,6.4,2300.95,0.4247,0.2942,0,2143.15,2.9,0,0.3816,108.49,1107.92,0.3,0.4247,0.2942,0,2143.15,2.9,0,0.3816,108.49,1107.92,0.3
Emactuzumab,6308.52,12.2,2719.53,0.5525,0.3,0,2370.89,5.9,0,0.5098,0,783.37,0.2,0.5525,0.3,0,2370.89,5.9,0,0.5098,0,783.37,0.2
Emapalumab,7194.47,6.6,2647.1,0.4271,0.3742,0,2639.27,5,0,0.3173,0,957.97,-1.7,0.4271,0.3742,0,2639.27,5,0,0.3173,0,957.97,-1.7
Empasiprubart,8085.78,4.8,3260.8,0.5962,0.4629,42.93,2506.66,1,0,0.2411,0,1536.22,1.4,0.5962,0.4629,42.93,2506.66,1,0,0.2411,0,1536.22,1.4
Enfortumab,6701.11,12.2,2455.22,0.4295,0.3887,0,2815.08,4.9,0,0.1448,0,535.48,1.2,0.4295,0.3887,0,2815.08,4.9,0,0.1448,0,535.48,1.2
Enlonstobart,9434.16,12,3699.75,0.3689,0.4112,8.45,2474.92,4.8,0,0.3901,122.61,2242.16,1.2,0.3689,0.4112,8.45,2474.92,4.8,0,0.3901,122.61,2242.16,1.2
Epratuzumab,5814.36,14.8,2233.59,0.4163,0.3633,0,2240.06,5,0,0.3721,0,667.12,2.4,0.4163,0.3633,0,2240.06,5,0,0.3721,0,667.12,2.4
Eptinezumab,8415.85,8.4,3062.77,0.4918,0.2749,0,1973.1,5.9,0,0.3624,13.28,2234.83,-1.7,0.4918,0.2749,0,1973.1,5.9,0,0.3624,13.28,2234.83,-1.7
Erenumab,6849.25,16.4,2181.97,0.359,0.3365,88.57,2765.47,6,0,0.211,0,659.15,2.2,0.359,0.3365,88.57,2765.47,6,0,0.211,0,659.15,2.2
Ersodetug,9134.56,4.6,3562.88,0.3968,0.4064,0,3119.06,3,0,0.3658,0,1448.22,-0.7,0.3968,0.4064,0,3119.06,3,0,0.3658,0,1448.22,-0.7
Etesevimab,6195.52,10.2,2899.04,0.4831,0.4139,0,1942.09,3.9,0,0.5152,0,1155.13,1.2,0.4831,0.4135,0,1943.17,3.9,0,0.5152,0,1155.13,1.2
Etrolizumab,6002.54,12.4,2759.72,0.5788,0.3383,0,2056.23,6.9,0,0.4611,0,945.04,-0.7,0.5788,0.3383,0,2056.23,6.9,0,0.4611,0,945.04,-0.7
Evinacumab,6944.38,-0.2,2161.78,0.2872,0.2645,0,2605.88,-2.3,0,0.4161,1.21,866.31,2.2,0.2872,0.2645,0,2605.88,-2.3,0,0.4161,1.21,866.31,2.2
Evolocumab,7400.61,6.2,2590.88,0.3834,0.4605,0,2572.71,3.8,0,0.1877,0,1127.59,-0.7,0.3834,0.4605,0,2572.71,3.8,0,0.1877,0,1127.59,-0.7
Farletuzumab,7090,10.6,2502.55,0.5034,0.3746,14.49,2152.46,5,0,0.2613,0,1392.54,0.3,0.5034,0.3746,14.49,2152.46,5,0,0.2613,0,1392.54,0.3
Fasinumab,7384.58,-2,2990.65,0.3046,0.4492,0,2644.85,-4.2,0,0.4338,19.32,1047.44,3.2,0.3046,0.4492,0,2644.85,-4.2,0,0.4338,19.32,1047.44,3.2
Feladilimab,7288.24,0.4,2833.02,0.4124,0.4753,0,2383.06,1.9,0,0.2652,0,1261.06,-1.7,0.4124,0.4753,0,2383.06,1.9,0,0.2652,0,1261.06,-1.7
Felzartamab,6465.9,8.4,2877.25,0.4948,0.4165,0,2407.83,5.9,0,0.4322,104.91,825.12,-1.7,0.4948,0.4165,0,2407.83,5.9,0,0.4322,104.91,825.12,-1.7
Fianlimab,8356.1,8,2286.85,0.2518,0.1374,46.87,2676.62,0.8,0,0.4247,2.42,1501.43,3.2,0.2518,0.1374,46.87,2676.62,0.8,0,0.4247,2.42,1501.43,3.2
Ficlatuzumab,7058.23,6.8,2420.33,0.3818,0.3301,0,2360.69,7.1,0,0.3353,0,1168.42,-3.7,0.3818,0.3301,0,2360.69,7.1,0,0.3353,0,1168.42,-3.7
Finotonlimab,7815.21,4,3088.21,0.5227,0.4063,0,2369.02,4.7,0,0.3168,10.87,1538.59,-2.7,0.5227,0.4063,0,2369.02,4.7,0,0.3168,10.87,1538.59,-2.7
Fremanezumab,7003.84,4.2,2774.63,0.5666,0.3271,0,2473.99,-0.1,0,0.2738,13.28,1027.93,2.2,0.5666,0.3271,0,2473.99,-0.1,0,0.2738,13.28,1027.93,2.2
Freneslerbart,6974.14,11.8,3166.92,0.4036,0.445,16.91,2355.13,4.7,0,0.5078,0,1131.94,1.2,0.4036,0.445,16.91,2355.13,4.7,0,0.5078,0,1131.94,1.2
Frexalimab,7508.26,12.4,2808.59,0.363,0.4506,0,2401.71,7.9,0,0.2902,50.67,1352.42,-1.7,0.363,0.4506,0,2401.71,7.9,0,0.2902,50.67,1352.42,-1.7
Fulranumab,6453.29,4.4,2752.98,0.5723,0.2917,0,2347.29,2,0,0.434,28.98,879.36,0.2,0.5723,0.2917,0,2347.29,2,0,0.434,28.98,879.36,0.2
Futuximab,7589.43,4.8,3156.53,0.3471,0.4975,0,2803.18,4,0,0.2936,0,991.54,-1.6,0.3471,0.4975,0,2803.18,4,0,0.2936,0,991.54,-1.6
Galcanezumab,7369.16,8,3125.01,0.4803,0.4486,0,2262.86,2.7,0,0.3627,1.21,1421.72,1.3,0.4803,0.4486,0,2262.86,2.7,0,0.3627,1.21,1421.72,1.3
Ganitumab,6924.49,12.8,2307.2,0.146,0.3323,0,2309.8,8,0,0.5016,7.25,1152.44,-1.6,0.146,0.3323,0,2309.8,8,0,0.5016,7.25,1152.44,-1.6
Gantenerumab,6796.67,20.4,2594.01,0.4201,0.3854,0,2879.81,10,0,0.3116,2.14,518.53,0.2,0.4201,0.3854,0,2879.81,10,0,0.3116,2.14,518.53,0.2
Garadacimab,7312.14,14,3703.89,0.6125,0.472,35.02,3166.38,3.8,0,0.2928,0,489.69,3.2,0.6125,0.472,35.02,3166.38,3.8,0,0.2928,0,489.69,3.2
Garetosmab,6649.25,10,2460.73,0.3151,0.383,0,2397.5,4.8,0,0.3961,9.39,927.12,0.2,0.3151,0.383,0,2397.5,4.8,0,0.3961,9.39,927.12,0.2
Gemtuzumab,7325.58,2,3028.83,0.5193,0.3737,51.77,2042.86,0.8,0,0.3967,2.42,1619.93,0.2,0.5193,0.3737,51.77,2042.86,0.8,0,0.3967,2.42,1619.93,0.2
Gevokizumab,6421.29,10.4,2198.7,0.2691,0.384,0,2492.18,2.9,0,0.3694,3.26,718.46,2.3,0.2691,0.384,0,2492.18,2.9,0,0.3694,3.26,718.46,2.3
Golimumab,6791.11,16.4,3021.24,0.5382,0.4169,47.92,3007.86,8,0,0.4033,1.21,387.7,0.2,0.5382,0.4169,47.92,3007.86,8,0,0.4033,1.21,387.7,0.2
Gotistobart,6918.21,8.8,2688.12,0.3176,0.3669,0,2816.79,5.1,0,0.5272,0,642.31,-0.7,0.3176,0.3669,0,2816.79,5.1,0,0.5272,0,642.31,-0.7
Gumokimab,7322.93,12.8,3315.9,0.3442,0.5296,0,2569.9,3.9,0,0.4515,0,1091.56,2.5,0.3442,0.5296,0,2569.9,3.9,0,0.4515,0,1091.56,2.5
Guselkumab,6346.7,16.4,2652.4,0.5565,0.4505,0,2234.56,7.9,0,0.2279,0,938.79,0.3,0.5565,0.4505,0,2234.56,7.9,0,0.2279,0,938.79,0.3
Ianalumab,6680.82,18.2,2415.87,0.2598,0.3918,0,2885.08,8.9,0,0.448,0,455.34,0.2,0.2598,0.3918,0,2885.08,8.9,0,0.448,0,455.34,0.2
Ibalizumab,7342.17,0,2865.2,0.3734,0.3159,60.48,2454.6,-0.2,0,0.4834,0,1216.48,0.2,0.3734,0.3159,60.48,2454.6,-0.2,0,0.4834,0,1216.48,0.2
Ibritumomab,7869.24,20.6,3401.33,0.5837,0.3976,0,2738.62,8,0,0.3724,0,1196,2.3,0.5837,0.3976,0,2738.62,8,0,0.3724,0,1196,2.3
Ifinatamab,7458.49,10.6,3501.88,0.7392,0.3855,0,2595.81,5,0,0.506,0,1133.44,0.3,0.7392,0.3855,0,2595.81,5,0,0.506,0,1133.44,0.3
Imsidolimab,6904.84,12.4,2807.68,0.431,0.3529,0,2381.33,5.8,0,0.4425,68.83,1071.09,0.4,0.431,0.3529,0,2381.33,5.8,0,0.4425,68.83,1071.09,0.4
Inebilizumab,7401.84,2.4,2572.71,0.359,0.3955,0,2703.73,5.9,0,0.2506,0,997.19,-4.7,0.359,0.3955,0,2703.73,5.9,0,0.2506,0,997.19,-4.7
Infliximab,7461.24,3,3291.92,0.4499,0.5105,0,2503.47,4.1,0,0.3436,0,1227.15,-2.6,0.4499,0.5105,0,2503.47,4.1,0,0.3436,0,1227.15,-2.6
Inotuzumab,8016.21,10.4,3136.55,0.339,0.4564,29.47,2511.7,4.8,0,0.3599,0,1496.4,0.4,0.339,0.4564,29.47,2511.7,4.8,0,0.3599,0,1496.4,0.4
Ipilimumab,5615.35,16.4,1916.53,0.4396,0.3185,0,2042.62,8,0,0.2854,11.6,765.06,0.2,0.4396,0.3185,0,2042.62,8,0,0.2854,11.6,765.06,0.2
Isatuximab,7974.62,8.8,3884.37,0.6436,0.4819,0,2465.38,5,0,0.4208,118.41,1521.93,-0.6,0.6436,0.4819,0,2465.38,5,0,0.4208,118.41,1521.93,-0.6
Itepekimab,6726.59,6,2573.3,0.4146,0.2612,0,2263.79,1.8,0,0.5137,27.66,1098.9,1.2,0.4146,0.261,0,2265,1.8,0,0.5137,27.66,1098.9,1.2
Itolizumab,6756.12,14.4,2514.99,0.5132,0.2586,0,2623.71,7.9,0,0.2738,14.49,754.35,-0.7,0.5132,0.2586,0,2623.71,7.9,0,0.2738,14.49,754.35,-0.7
Ixekizumab,6963.56,8.8,3483.53,0.5426,0.38,0,2143.11,0.9,0,0.636,0,1338.67,3.5,0.5426,0.38,0,2143.11,0.9,0,0.636,0,1338.67,3.5
Lanadelumab,6013.08,16.4,2209.81,0.609,0.3046,9.66,2209.23,7,0,0.3055,0,797.31,1.2,0.609,0.3046,9.66,2209.23,7,0,0.3055,0,797.31,1.2
Latozinemab,7339.86,12.4,2913.57,0.3446,0.3913,0,2459.46,8,0,0.4414,0,1210.47,-1.8,0.3446,0.3913,0,2459.46,8,0,0.4414,0,1210.47,-1.8
