Sequence_Name,Source_File,Sequence_Length,pI,MW,Polar_Pct,A_Pct,L_Pct,V_Pct,I_Pct,P_Pct,F_Pct,W_Pct,M_Pct,G_Pct,GRAVY_Score,Avg_KD_Hydrophobicity,Max_KD_Hydrophobicity
Marlotamig_Light_Chain_2,marlotamig.py,108,8.06,11677.85,54.63,648.15,833.33,370.37,462.96,648.15,370.37,185.19,0.00,1018.52,-0.35,-0.35,1.66
Mosunetuzumab|||Mosunetuzumab_INN light;Mosunetuzumab;IGKV4;Thera-SAbDab,mosunetuzumab.py,112,9.01,12388.82,57.14,535.71,892.86,535.71,535.71,446.43,357.14,178.57,89.29,714.29,-0.36,-0.36,1.28
Mosunetuzumab|||Mosunetuzumab_INN heavy;Mosunetuzumab;IGHV1;Thera-SAbDab,mosunetuzumab.py,119,6.85,13301.52,58.82,756.30,588.24,756.30,252.10,252.10,252.10,336.13,0.00,924.37,-0.48,-0.46,1.65
Navicixizumab_Heavy_Chain_1,navicixizumab.py,119,8.51,13377.71,59.66,756.30,420.17,840.34,336.13,168.07,252.10,252.10,168.07,840.34,-0.48,-0.46,1.65
Navicixizumab_Light_Chain_1,navicixizumab.py,111,4.92,11947.23,52.25,630.63,540.54,720.72,540.54,540.54,450.45,180.18,180.18,990.99,-0.27,-0.27,1.28
Navicixizumab_Heavy_Chain_2,navicixizumab.py,121,8.86,13713.28,58.68,495.87,578.51,909.09,165.29,330.58,247.93,330.58,330.58,743.80,-0.53,-0.51,1.65
Navicixizumab_Light_Chain_2,navicixizumab.py,111,4.92,11947.23,52.25,630.63,540.54,720.72,540.54,540.54,450.45,180.18,180.18,990.99,-0.27,-0.27,1.28
Nezastomig_FOLH1-GCPII-PSMA_Heavy_Chain_1,nezastomig.py,124,7.96,13969.47,53.23,564.52,725.81,887.10,80.65,161.29,645.16,241.94,322.58,1048.39,-0.32,-0.30,1.65
Nezastomig_FOLH1-GCPII-PSMA_Light_Chain_1,nezastomig.py,108,8.06,11677.85,54.63,648.15,833.33,370.37,462.96,648.15,370.37,185.19,0.00,1018.52,-0.35,-0.35,1.66
Nezastomig_CD28_Heavy_Chain_2,nezastomig.py,122,8.87,13603.14,55.74,327.87,655.74,901.64,573.77,409.84,81.97,409.84,81.97,983.61,-0.20,-0.19,1.22
Nezastomig_CD28_Light_Chain_2,nezastomig.py,108,8.06,11677.85,54.63,648.15,833.33,370.37,462.96,648.15,370.37,185.19,0.00,1018.52,-0.35,-0.35,1.66
Obrixtamig_DLL3_Heavy_Chain_1,obrixtamig.py,124,8.89,13609.17,54.03,645.16,403.23,1209.68,161.29,241.94,241.94,241.94,322.58,1129.03,-0.25,-0.23,1.22
Obrixtamig_DLL3_Light_Chain_1,obrixtamig.py,107,8.62,11733.05,56.07,560.75,654.21,467.29,560.75,560.75,467.29,93.46,186.92,841.12,-0.29,-0.29,1.54
Obrixtamig_CD3E_Heavy_Chain_2,obrixtamig.py,125,8.90,13952.39,54.40,880.00,640.00,880.00,160.00,160.00,400.00,320.00,160.00,960.00,-0.36,-0.35,2.08
Obrixtamig_CD3E_Light_Chain_2,obrixtamig.py,109,8.08,11445.79,44.95,917.43,1100.92,825.69,91.74,642.20,275.23,366.97,0.00,1284.40,-0.06,-0.08,1.44
Odronextamab_MS4A1-CD20_Heavy_Chain_1,odronextamab.py,127,6.31,14131.50,55.12,629.92,708.66,866.14,236.22,157.48,236.22,314.96,236.22,1102.36,-0.36,-0.34,1.38
Odronextamab_MS4A1-CD20_Light_Chain_1,odronextamab.py,107,8.72,11510.79,52.34,841.12,747.66,467.29,560.75,560.75,373.83,186.92,93.46,934.58,-0.17,-0.17,1.28
Odronextamab_CD3E_Heavy_Chain_2,odronextamab.py,123,6.99,13467.82,52.85,731.71,731.71,731.71,243.90,162.60,243.90,325.20,243.90,1300.81,-0.35,-0.34,1.74
Odronextamab_CD3E_Light_Chain_2,odronextamab.py,107,8.72,11510.79,52.34,841.12,747.66,467.29,560.75,560.75,373.83,186.92,93.46,934.58,-0.17,-0.17,1.28
Pamvatamig_MET-HGFR_Heavy_Chain_1,pamvatamig.py,123,6.36,13608.99,53.66,650.41,569.11,813.01,162.60,406.50,487.80,325.20,162.60,1056.91,-0.29,-0.27,1.65
